Date,Reported_Activity,Progress_Percentage
2026-09-02,Site cleaning and preparation completed,100
2026-09-08,Excavation of foundation area in progress,60
2026-09-15,Steel reinforcement work for foundation started,50
2026-09-20,Concrete poured for foundation,75
2026-09-25,Column steel fixing work completed,100
2026-09-30,Concrete work for columns started,40
2026-10-05,Brick wall construction in progress,30
2026-10-15,Wall plastering work completed,80
2026-10-23,Electrical wiring installation started,50
2026-10-30,Building painting work in progress,40
